,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Additional Time:,Yield:,Active Time:
20,6738301,Healthier Carrot Cake,30 mins,40 mins, 2 hrs 10 mins,18 ,18,400,25g,6g,58mg,355mg,42g,3g,31g,5g,1mg,70mg,1mg,171mg,4.8,65,, 1 hr,1 9x13-inch cake,
21,6738644,Carrot Cake Cheesecake,30 mins, 1 hr 10 mins, 9 hrs 50 mins,16 ,16,510,33g,14g,118mg,271mg,49g,1g,39g,8g,1mg,89mg,2mg,158mg,4.1,23,, 8 hrs 10 mins,1 9-inch springform pan,
22,6598657,Honey Carrot Cake,30 mins,50 mins, 1 hr 20 mins,24 ,24,297,15g,5g,44mg,233mg,38g,1g,24g,5g,2mg,42mg,1mg,137mg,4.4,56,,,24 servings,
23,6569564,A Very Moist Carrot Cake,15 mins,50 mins, 1 hr 5 mins,8 ,8,727,44g,7g,82mg,341mg,80g,2g,52g,7g,2mg,63mg,2mg,158mg,4.6,13,,,1 9x13-inch cake,
24,6586474,Easy Carrot Cake Bars,10 mins,20 mins,30 mins,14 ,14,412,25g,4g,53mg,375mg,44g,1g,30g,4g,1mg,19mg,1mg,88mg,4.6,59,,,1 - 10x15 inch jelly roll pan,
25,6563023,Carrot Cake with Crushed Pineapple and Pecans,15 mins,35 mins,50 mins,12 ,12,591,38g,5g,47mg,350mg,60g,3g,40g,5g,3mg,34mg,2mg,200mg,4.5,2,,,1 9-inch layer cake,
26,6602392,Pat's Award Winning Carrot Cake,45 mins,50 mins, 1 hr 45 mins,12 ,12,573,37g,7g,62mg,556mg,57g,3g,38g,6g,2mg,33mg,2mg,178mg,4.7,137,,10 mins,1 10-inch bundt pan,
27,6581649,Cranberry Carrot Cake,20 mins,30 mins, 2 hrs,12 ,12,399,19g,3g,54mg,467mg,54g,2g,34g,5g,3mg,95mg,2mg,146mg,4.8,48,, 1 hr 10 mins,1 to 8 - inch cake,
28,6582950,Carrot Bundt Cake with Cream Cheese Filling,10 mins,55 mins, 1 hr 15 mins,12 ,12,471,27g,7g,83mg,506mg,53g,2g,35g,6g,2mg,42mg,2mg,176mg,4.5,4,,10 mins,1 cake,
29,6737967,Purple Carrot Cake,25 mins,45 mins, 1 hr 10 mins,8 ,8,290,10g,2g,71mg,148mg,47g,2g,29g,5g,2mg,88mg,2mg,180mg,5.0,1,,,8 servings,
30,6569110,A Plus Carrot Cake,20 mins, 1 hr, 1 hr 20 mins,24 ,24,296,16g,3g,31mg,156mg,37g,2g,26g,3g,3mg,40mg,1mg,169mg,4.7,114,,,24 servings,
31,6564551,Mini Carrot Cake Loaves,15 mins,25 mins,45 mins,6 ,6,1037,68g,10g,109mg,1050mg,101g,5g,62g,13g,4mg,167mg,4mg,394mg,4.0,1,,5 mins,6 mini loaves,
32,6649507,Carrot Cake with Pineapple Cream Cheese Frosting,20 mins,45 mins, 10 hrs 5 mins,16 ,16,398,13g,3g,34mg,329mg,67g,2g,52g,5g,3mg,48mg,1mg,186mg,4.7,36,, 9 hrs,16 servings,
33,6578529,Carrot Cake Cupcakes with Lemon Cream Cheese Frosting,30 mins,20 mins,50 mins,24 ,24,362,20g,7g,52mg,166mg,45g,1g,36g,3g,1mg,45mg,1mg,82mg,4.5,26,,,24 cupcakes,
34,6581416,Flax Seed Carrot Cake,25 mins,40 mins, 9 hrs 5 mins,12 ,12,178,4g,0g,0mg,131mg,34g,3g,15g,5g,2mg,33mg,1mg,196mg,3.8,17,, 8 hrs,1 - 9x5 inch loaf,
35,6600554,Vegan Carrot Cake,15 mins,45 mins, 3 hrs,24 ,24,152,2g,0g,,279mg,32g,3g,22g,3g,2mg,46mg,1mg,215mg,3.7,23,, 2 hrs,1 9x13-inch baking dish,
36,6594025,Quick Blender Carrot Cake,10 mins,30 mins,40 mins,10 ,10,518,24g,4g,74mg,138mg,70g,1g,41g,7g,1mg,77mg,2mg,107mg,,,,,10 servings,
37,6595104,Santa Fe Carrot Cake,15 mins,25 mins, 1 hr 10 mins,16 ,16,405,25g,7g,70mg,336mg,41g,2g,25g,5g,2mg,46mg,2mg,183mg,5.0,2,,30 mins,2 8-inch cakes,
38,6593146,Sister Beth's Carrot Cake,20 mins, 1 hr, 2 hrs 20 mins,12 ,12,614,36g,10g,70mg,409mg,70g,3g,47g,6g,3mg,42mg,2mg,202mg,4.7,57,, 1 hr,12 servings,
39,6582470,Carrot Sheet Cake,20 mins,45 mins, 1 hr 35 mins,24 ,24,368,24g,8g,51mg,318mg,36g,1g,26g,3g,1mg,45mg,1mg,89mg,4.0,2,,30 mins,1 10x15-inch cake,
40,6606471,Family-Favorite Gluten-Free Carrot Cake,20 mins,40 mins, 1 hr,12 ,12,295,12g,1g,47mg,149mg,47g,4g,29g,4g,2mg,24mg,0mg,149mg,,,,,1 9x13-inch cake,
41,6649240,Simple Carrot Cake Cupcakes with Cream Cheese Frosting,30 mins,15 mins, 1 hr 15 mins,18 ,18,337,16g,7g,48mg,163mg,46g,1g,,3g,,,,68mg,,,,30 mins,18 cupcakes,
42,6601805,Swiss Carrot Cake,30 mins,50 mins, 1 hr 20 mins,12 ,12,309,13g,2g,85mg,101mg,45g,4g,33g,8g,15mg,115mg,2mg,278mg,4.4,9,,,12 servings,
43,6599913,Zucchini Walnut Carrot Cake,20 mins,40 mins, 1 hr,16 ,16,232,15g,2g,21mg,291mg,22g,3g,8g,5g,4mg,27mg,2mg,170mg,5.0,5,,,1 9x13-inch cake,
44,6595554,Brown Butter Carrot Sheet Cake with Brown Butter-Cream Cheese Frosting,30 mins,30 mins, 1 hr 45 mins,24 ,24,298,16g,9g,69mg,225mg,36g,1g,26g,3g,1mg,41mg,1mg,132mg,4.3,4,,45 mins,1 sheet cake,
45,6589504,Carrot Cake of My Dreams!,20 mins,55 mins, 1 hr 55 mins,16 ,16,337,10g,2g,0mg,379mg,58g,2g,32g,5g,6mg,60mg,2mg,283mg,4.4,15,,40 mins,16 servings,
46,6604673,Skinny Carrot Cake,20 mins,30 mins,50 mins,12 ,12,131,0g,,,356mg,30g,1g,16g,3g,2mg,29mg,1mg,124mg,5.0,1,,,1 9-inch round cake,
47,6588402,Swiss Almond Carrot Cake (Aargauer Rueblitorte),30 mins,40 mins, 2 hrs 10 mins,10 ,10,439,21g,2g,76mg,119mg,57g,6g,43g,11g,11mg,151mg,3mg,398mg,,,, 1 hr,1 9-inch cake,
48,6566399,Carrot Cake with Cheesecake Filling,30 mins,55 mins, 2 hrs,14 ,14,550,31g,9g,71mg,513mg,66g,2g,48g,5g,2mg,38mg,1mg,170mg,,,,35 mins,1 carrot cake cheesecake,
49,6562537,Carrot Cake with Bourbon Cheesecake Swirl,25 mins,40 mins, 1 hr 10 mins,10 ,10,271,15g,9g,86mg,233mg,30g,1g,16g,5g,0mg,59mg,1mg,70mg,3.8,13,,5 mins,10 servings,
50,6561802,The Ultimate Carrot Cake,20 mins,40 mins, 1 hr 40 mins,24 ,24,396,22g,6g,51mg,247mg,49g,2g,38g,4g,2mg,60mg,1mg,146mg,,,,40 mins,1 9x13-inch cake,
51,6594720,Brazilian-Style Carrot Cake with Chocolate Sauce,20 mins,43 mins, 1 hr 8 mins,10 ,10,438,16g,4g,63mg,173mg,72g,2g,51g,6g,,110mg,2mg,128mg,3.0,1,,5 mins,1 10-inch cake,
52,6582314,Carrot Cake with Chai-Flavored Cream Cheese Frosting,45 mins,30 mins, 2 hrs,20 ,20,398,18g,7g,62mg,248mg,56g,1g,43g,4g,1mg,41mg,1mg,176mg,5.0,1,,45 mins,1 9-inch layer cake,
53,6568930,Beet and Carrot Cake,30 mins, 1 hr, 1 hr 30 mins,16 ,16,416,24g,5g,58mg,264mg,48g,3g,30g,5g,2mg,46mg,2mg,300mg,4.0,4,,,16 servings,
54,6587960,Carrot Cake VI,,,,12 ,12,275,8g,1g,2mg,225mg,51g,2g,30g,4g,1mg,27mg,2mg,199mg,4.3,36,,,1 - 9x5 loaf pan,
55,6568844,3-Layer Carrot Cake with Lemon Buttercream Frosting,25 mins,35 mins, 2 hrs,16 ,16,844,48g,19g,118mg,492mg,100g,3g,78g,8g,3mg,64mg,2mg,221mg,3.0,1,, 1 hr,1 9-inch layer cake,
56,6580322,Spicy Carrot Cake,10 mins,45 mins, 1 hr 25 mins,12 ,12,330,15g,3g,31mg,440mg,46g,2g,32g,4g,5mg,36mg,1mg,150mg,4.1,7,,30 mins,1 cake,
