,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Stand Time:,Additional Time:
33,6573719,10 mins,35 mins,45 mins,8 ,,,,,,,,,,,,,,,4.4,510,,,
34,6663813,1 mins, 1 hr 30 mins, 1 hr 31 mins,1 ,1,419,25g,13g,58mg,1448mg,38g,5g,2g,13g,42mg,282mg,2mg,946mg,4.7,891,1 baked potato,,
35,6649259,10 mins,15 mins,25 mins,6 ,6,283,8g,1g,31mg,415mg,47g,6g,3g,7g,50mg,39mg,2mg,1077mg,4.6,290,,,
36,6592169,20 mins,30 mins,50 mins,8 ,8,474,30g,16g,104mg,944mg,22g,2g,2g,29g,12mg,335mg,3mg,280mg,4.7,65,1 2-quart casserole,,
37,6663336,25 mins,45 mins, 1 hr 20 mins,12 ,12,539,33g,13g,65mg,651mg,40g,4g,3g,20g,6mg,76mg,4mg,323mg,4.9,"1,471",2 9-inch pot pies,,10 mins
38,6650561,5 mins,20 mins,25 mins,4 ,4,199,9g,6g,23mg,71mg,28g,4g,1g,3g,32mg,22mg,1mg,675mg,4.7,562,,,
39,6648527,15 mins,30 mins,45 mins,8 ,8,756,31g,15g,110mg,1642mg,83g,3g,8g,36g,34mg,416mg,7mg,485mg,4.3,"1,111",,,
40,6650502,15 mins, 1 hr 15 mins, 1 hr 30 mins,8 ,8,797,41g,21g,126mg,1326mg,61g,5g,,44g,2mg,667mg,4mg,722mg,4.7,"1,504",1 9x13-inch casserole,,
41,6650844,15 mins,10 mins,25 mins,2 ,2,334,19g,12g,49mg,13mg,38g,5g,2g,4g,42mg,27mg,2mg,911mg,4.7,358,,,
42,6650288,8 mins,27 mins,35 mins,8 ,8,476,26g,10g,85mg,1476mg,32g,4g,,27g,17mg,97mg,7mg,900mg,4.5,"2,198",,,
43,6649926,10 mins,50 mins, 1 hr,8 ,8,434,29g,18g,73mg,857mg,32g,3g,1g,13g,3mg,281mg,3mg,149mg,4.8,112,1 9x13-inch casserole,,
44,6663132,20 mins, 1 hr 20 mins, 1 hr 40 mins,6 ,6,403,27g,12g,83mg,538mg,17g,1g,4g,22g,7mg,219mg,2mg,515mg,4.3,"1,453",,,
45,6664115,20 mins,40 mins, 1 hr 10 mins,8 ,8,412,23g,10g,65mg,708mg,30g,2g,,20g,5mg,77mg,3mg,159mg,4.7,882,1 7x11-inch pot pie,,10 mins
46,6650706,10 mins, 5 hrs, 5 hrs 10 mins,8 ,8,385,18g,6g,45mg,1245mg,37g,1g,6g,18g,1mg,56mg,3mg,246mg,4.4,"9,821",,,
47,6737344,10 mins, 1 hr, 1 hr 10 mins,12 ,12,338,32g,18g,71mg,523mg,17g,1g,1g,8g,8mg,173mg,1mg,413mg,4.6,59,1 9x13-inch casserole,,
48,6649094,15 mins,50 mins, 1 hr 5 mins,6 ,6,591,37g,21g,108mg,1044mg,40g,4g,,25g,52mg,380mg,2mg,1034mg,4.7,500,1 1 1/2-quart caserole,,
49,6663597,30 mins,45 mins, 1 hr 15 mins,8 ,8,479,28g,11g,100mg,890mg,25g,3g,3g,32g,35mg,276mg,3mg,407mg,4.5,505,1 9x13-inch casserole,,
50,6664559,5 mins,20 mins,25 mins,8 ,8,179,7g,1g,,301mg,27g,3g,2g,3g,15mg,17mg,1mg,775mg,4.7,"1,401",,,
51,6663523,15 mins,25 mins, 6 hrs 50 mins,4 ,4,1262,85g,16g,179mg,1443mg,56g,3g,6g,66g,3mg,193mg,6mg,666mg,4.5,484,8 pieces,, 6 hrs 10 mins
52,6565970,10 mins,20 mins,35 mins,8 ,8,246,11g,5g,15mg,337mg,35g,1g,13g,2g,0mg,18mg,1mg,29mg,5.0,1,,,5 mins
53,6664122,15 mins, 1 hr, 1 hr 15 mins,6 ,6,632,44g,23g,119mg,1308mg,33g,6g,6g,32g,8mg,451mg,4mg,926mg,4.4,"2,677",1 9x13-inch casserole,,
54,6737172,20 mins, 1 hr 30 mins, 2 hrs,10 ,10,556,36g,19g,208mg,940mg,22g,2g,8g,34g,7mg,318mg,4mg,744mg,4.6,141,1 (9x13-inch) casserole,,10 mins
55,6650887,45 mins,15 mins, 2 hrs,4 ,4,1270,89g,47g,407mg,1359mg,80g,7g,16g,38g,6mg,710mg,6mg,937mg,4.3,216,20 ravioli,, 1 hr
56,6649410,20 mins,50 mins, 1 hr 20 mins,6 ,6,613,48g,27g,232mg,1155mg,24g,3g,6g,23g,2mg,563mg,3mg,393mg,4.7,"2,768",1 9-inch quiche,,10 mins
57,6648204,15 mins,50 mins, 1 hr 5 mins,10 ,10,550,25g,14g,116mg,1544mg,44g,3g,9g,38g,2mg,884mg,3mg,594mg,4.6,"1,223",1 9x13-inch casserole,,
58,6665064,30 mins,15 mins,45 mins,6 ,6,661,19g,5g,168mg,1840mg,73g,3g,0g,42g,1mg,50mg,7mg,381mg,4.4,964,,,
59,6664215,10 mins, 4 hrs, 4 hrs 10 mins,6 ,6,526,25g,10g,103mg,547mg,42g,6g,5g,32g,45mg,60mg,5mg,1276mg,4.4,536,6 servings,,
60,6738880,20 mins, 4 hrs 10 mins, 4 hrs 30 mins,10 ,10,446,20g,10g,72mg,1420mg,36g,3g,8g,31g,11mg,453mg,3mg,715mg,4.2,"1,132",,,
61,6650248,20 mins,35 mins,55 mins,6 ,6,411,20g,10g,105mg,1082mg,34g,2g,2g,24g,1mg,164mg,3mg,381mg,4.4,519,1 9x13-inch casserole,,
